OneView IEC 61400-25-2 Edition 2,NODE,TAGName,Description,SI Unit,Type,DataType,CollectorType
WROT.BlPthPnlTmp3,WROT.,BlPthPnlTmp3,Electrical pitch control Panel/Box temperature blade 3,�C,Live Value,Double,Live Value
WROT.BlPthPnlTmp3_10m_Avg,WROT.,BlPthPnlTmp3_10m_Avg,Electrical pitch control Panel/Box temperature blade 3,�C,Average,Double,10 minute tag
WROT.BlPthPnlTmp3_10m_Max,WROT.,BlPthPnlTmp3_10m_Max,Electrical pitch control Panel/Box temperature blade 3,�C,Maximum,Double,10 minute tag
WROT.BlPthPnlTmp3_10m_Min,WROT.,BlPthPnlTmp3_10m_Min,Electrical pitch control Panel/Box temperature blade 3,�C,Minimum,Double,10 minute tag
WROT.BlPthPnlTmp3_10m_Std,WROT.,BlPthPnlTmp3_10m_Std,Electrical pitch control Panel/Box temperature blade 3,�C,Standard Deviation,Double,10 minute tag
WROT.BlPthTmp1,WROT.,BlPthTmp1,Pitch 1 output stage temperature,�C,Live Value,Double,Live Value
WROT.BlPthTmp1_10m_Avg,WROT.,BlPthTmp1_10m_Avg,Pitch 1 output stage temperature,�C,Average,Double,10 minute tag
WROT.BlPthTmp1_10m_Max,WROT.,BlPthTmp1_10m_Max,Pitch 1 output stage temperature,�C,Maximum,Double,10 minute tag
WROT.BlPthTmp1_10m_Min,WROT.,BlPthTmp1_10m_Min,Pitch 1 output stage temperature,�C,Minimum,Double,10 minute tag
WROT.BlPthTmp1_10m_Std,WROT.,BlPthTmp1_10m_Std,Pitch 1 output stage temperature,�C,Standard Deviation,Double,10 minute tag
WROT.BlPthTmp2,WROT.,BlPthTmp2,Pitch 2 output stage temperature,�C,Live Value,Double,Live Value
WROT.BlPthTmp2_10m_Avg,WROT.,BlPthTmp2_10m_Avg,Pitch 2 output stage temperature,�C,Average,Double,10 minute tag
WROT.BlPthTmp2_10m_Max,WROT.,BlPthTmp2_10m_Max,Pitch 2 output stage temperature,�C,Maximum,Double,10 minute tag
WROT.BlPthTmp2_10m_Min,WROT.,BlPthTmp2_10m_Min,Pitch 2 output stage temperature,�C,Minimum,Double,10 minute tag
WROT.BlPthTmp2_10m_Std,WROT.,BlPthTmp2_10m_Std,Pitch 2 output stage temperature,�C,Standard Deviation,Double,10 minute tag
WROT.BlPthTmp3,WROT.,BlPthTmp3,Pitch 3 output stage temperature,�C,Live Value,Double,Live Value
WROT.BlPthTmp3_10m_Avg,WROT.,BlPthTmp3_10m_Avg,Pitch 3 output stage temperature,�C,Average,Double,10 minute tag
WROT.BlPthTmp3_10m_Max,WROT.,BlPthTmp3_10m_Max,Pitch 3 output stage temperature,�C,Maximum,Double,10 minute tag
WROT.BlPthTmp3_10m_Min,WROT.,BlPthTmp3_10m_Min,Pitch 3 output stage temperature,�C,Minimum,Double,10 minute tag
WROT.BlPthTmp3_10m_Std,WROT.,BlPthTmp3_10m_Std,Pitch 3 output stage temperature,�C,Standard Deviation,Double,10 minute tag
WROT.BlSt,WROT.,BlSt,Status of blade as feedback from the pitch system,Enum,Live Value,Long,Live Value
WROT.GsLev,WROT.,GsLev,Grease level in the blade bearing lubrication tank,percent,Live Value,Double,Live Value
WROT.GsLev_10m_Avg,WROT.,GsLev_10m_Avg,Grease level in the blade bearing lubrication tank,percent,Average,Double,10 minute tag
WROT.GsLev_10m_Max,WROT.,GsLev_10m_Max,Grease level in the blade bearing lubrication tank,percent,Maximum,Double,10 minute tag
WROT.GsLev_10m_Min,WROT.,GsLev_10m_Min,Grease level in the blade bearing lubrication tank,percent,Minimum,Double,10 minute tag
WROT.GsLev_10m_Std,WROT.,GsLev_10m_Std,Grease level in the blade bearing lubrication tank,percent,Standard Deviation,Double,10 minute tag
WROT.HubHyInPres,WROT.,HubHyInPres,Hydraulic pressure at hub inlet,bar,Live Value,Double,Live Value
WROT.HubHyInPres_10m_Avg,WROT.,HubHyInPres_10m_Avg,Hydraulic pressure at hub inlet,bar,Average,Double,10 minute tag
WROT.HubHyInPres_10m_Max,WROT.,HubHyInPres_10m_Max,Hydraulic pressure at hub inlet,bar,Maximum,Double,10 minute tag
WROT.HubHyInPres_10m_Min,WROT.,HubHyInPres_10m_Min,Hydraulic pressure at hub inlet,bar,Minimum,Double,10 minute tag
WROT.HubHyInPres_10m_Std,WROT.,HubHyInPres_10m_Std,Hydraulic pressure at hub inlet,bar,Standard Deviation,Double,10 minute tag
WROT.HubPnlTmp,WROT.,HubPnlTmp,Hub panel temperature,�C,Live Value,Double,Live Value
WROT.HubPnlTmp_10m_Avg,WROT.,HubPnlTmp_10m_Avg,Hub panel temperature,�C,Average,Double,10 minute tag
WROT.HubPnlTmp_10m_Max,WROT.,HubPnlTmp_10m_Max,Hub panel temperature,�C,Maximum,Double,10 minute tag
WROT.HubPnlTmp_10m_Min,WROT.,HubPnlTmp_10m_Min,Hub panel temperature,�C,Minimum,Double,10 minute tag
WROT.HubPnlTmp_10m_Std,WROT.,HubPnlTmp_10m_Std,Hub panel temperature,�C,Standard Deviation,Double,10 minute tag
WROT.HubTmp,WROT.,HubTmp,Temperature in hub,�C,Live Value,Double,Live Value
WROT.HubTmp_10m_Avg,WROT.,HubTmp_10m_Avg,Temperature in hub,�C,Average,Double,10 minute tag
WROT.HubTmp_10m_Max,WROT.,HubTmp_10m_Max,Temperature in hub,�C,Maximum,Double,10 minute tag
WROT.HubTmp_10m_Min,WROT.,HubTmp_10m_Min,Temperature in hub,�C,Minimum,Double,10 minute tag
WROT.HubTmp_10m_Std,WROT.,HubTmp_10m_Std,Temperature in hub,�C,Standard Deviation,Double,10 minute tag
WROT.HyOilPmpCnt,WROT.,HyOilPmpCnt,Number of activations of the hydraulic oil pump,Count,Total Counter,Long,Live Value
WROT.HyOilPmpCnt_10m_End,WROT.,HyOilPmpCnt_10m_End,Number of activations of the hydraulic oil pump,Count,Total Counter,Long,10 minute tag
WROT.HyOilTmp,WROT.,HyOilTmp,Hydraulic oil temperature,�C,Live Value,Double,Live Value
WROT.HyOilTmp_10m_Avg,WROT.,HyOilTmp_10m_Avg,Hydraulic oil temperature,�C,Average,Double,10 minute tag
WROT.HyOilTmp_10m_Max,WROT.,HyOilTmp_10m_Max,Hydraulic oil temperature,�C,Maximum,Double,10 minute tag
WROT.HyOilTmp_10m_Min,WROT.,HyOilTmp_10m_Min,Hydraulic oil temperature,�C,Minimum,Double,10 minute tag
WROT.HyOilTmp_10m_Std,WROT.,HyOilTmp_10m_Std,Hydraulic oil temperature,�C,Standard Deviation,Double,10 minute tag
WROT.HyTipBrkPres,WROT.,HyTipBrkPres,Hydraulic oil pressure tip brake,bar,Live Value,Double,Live Value
WROT.HyTipBrkPres_10m_Avg,WROT.,HyTipBrkPres_10m_Avg,Hydraulic oil pressure tip brake,bar,Average,Double,10 minute tag
WROT.HyTipBrkPres_10m_Max,WROT.,HyTipBrkPres_10m_Max,Hydraulic oil pressure tip brake,bar,Maximum,Double,10 minute tag
WROT.HyTipBrkPres_10m_Min,WROT.,HyTipBrkPres_10m_Min,Hydraulic oil pressure tip brake,bar,Minimum,Double,10 minute tag
WROT.HyTipBrkPres_10m_Std,WROT.,HyTipBrkPres_10m_Std,Hydraulic oil pressure tip brake,bar,Standard Deviation,Double,10 minute tag
WROT.PthCtlSt,WROT.,PthCtlSt,Status of pitch control,Enum,Live Value,Long,Live Value
WROT.PthEmgChk,WROT.,PthEmgChk,Check emergency pitch system,Enum,,Long,
WROT.PthFdPmpCnt_10m_End,WROT.,PthFdPmpCnt_10m_End,Number of activations of the pitch feeder pump,Count,Total Counter,Long,10 minute tag
WROT.PthFdPmpTms_10m_End,WROT.,PthFdPmpTms_10m_End,Time pitch feeder pump has been engaged,seconds,Total Counter,Long,10 minute tag
WROT.PthMainPmpCnt_10m_End,WROT.,PthMainPmpCnt_10m_End,Number of activations the pitch main pump,Count,Total Counter,Long,10 minute tag
WROT.PthMainPmpTms_10m_End,WROT.,PthMainPmpTms_10m_End,Time pitch main pump has been engaged,seconds,Total Counter,Long,10 minute tag
WROT.RotBlk,WROT.,RotBlk,Block rotor position command,Enum,,Long,
WROT.RotPos,WROT.,RotPos,Angular rotor position,Degrees,,Double,
WROT.RotSpd,WROT.,RotSpd,Rotor rotation speed,RPM,Live Value,Double,Live Value
WROT.RotSpd_10m_Avg,WROT.,RotSpd_10m_Avg,Rotor rotation speed,RPM,Average,Double,10 minute tag
WROT.RotSpd_10m_Max,WROT.,RotSpd_10m_Max,Rotor rotation speed,RPM,Maximum,Double,10 minute tag
WROT.RotSpd_10m_Min,WROT.,RotSpd_10m_Min,Rotor rotation speed,RPM,Minimum,Double,10 minute tag
WROT.RotSpd_10m_Std,WROT.,RotSpd_10m_Std,Rotor rotation speed,RPM,Standard Deviation,Double,10 minute tag
WROT.RotSt,WROT.,RotSt,Status of rotor,Enum,Live Value,Long,Live Value
WROT.SupV_10m_Avg,WROT.,SupV_10m_Avg,Hub supply voltage,V,Average,Double,10 minute tag
WROT.SupV_10m_Max,WROT.,SupV_10m_Max,Hub supply voltage,V,Maximum,Double,10 minute tag
WROT.SupV_10m_Min,WROT.,SupV_10m_Min,Hub supply voltage,V,Minimum,Double,10 minute tag
WROT.SupV_10m_Std,WROT.,SupV_10m_Std,Hub supply voltage,V,Standard Deviation,Double,10 minute tag
WROT.TipBrkPmpCnt,WROT.,TipBrkPmpCnt,Number of activations of the hydraulic tip brake pump,Count,Total Counter,Long,Live Value
WROT.TipBrkPmpCnt_10m_End,WROT.,TipBrkPmpCnt_10m_End,Number of activations of the hydraulic tip brake pump,Count,Total Counter,Long,10 minute tag
WROT.TipBrkPmpTms,WROT.,TipBrkPmpTms,Time the hydraulic tip brake pump has been activated,seconds,Total Counter,Long,Live Value
WROT.TipBrkPmpTms_10m_End,WROT.,TipBrkPmpTms_10m_End,Time the hydraulic tip brake pump has been activated,seconds,Total Counter,Long,10 minute tag
WRPC.DrpSpt,WRPC.,DrpSpt,Set reference value for slope of voltage control droop,,,Double,
WRPC.OpTurNum,WRPC.,OpTurNum,Actual number of wind turbines in operation,Count,,Long,
WRPC.PF,WRPC.,PF,Wind power plant actual power factor,pf,,Double,
WRPC.PFSign,WRPC.,PFSign,Power factor sign convention: IEEE = 2,,,Long,
WRPC.PFSpt,WRPC.,PFSpt,Set reference value for wind power plant power factor – negative: lagging (producing reactive power); positive: leading (consuming reactive power) as defined by IEEE,PF,,Double,
WRPC.V,WRPC.,V,Wind power plant output voltage at the external grid connection point,,,Double,
WRPC.VAr,WRPC.,VAr,Wind power plant reactive power generation,,,Double,
WRPC.VArAct,WRPC.,VArAct,Activate reactive power control function,,,Long,
WRPC.VArCapExpt,WRPC.,VArCapExpt,Wind power plant reactive power export (supply) capability,,,Double,
WRPC.VArCapImpt,WRPC.,VArCapImpt,Wind power plant reactive power import (demand) capability,,,Double,
WRPC.VArDnGraSpt,WRPC.,VArDnGraSpt,Set reference value for gradient for ramping down the wind power plant reactive power output,,,Double,
WRPC.VArMinCap,WRPC.,VArMinCap,Wind power plant minimum reactive power capability of plant,Var,,Double,
WRPC.VArMod,WRPC.,VArMod,Reactive power control mode,Enum,,Long,
WRPC.VArSpt,WRPC.,VArSpt,Set reference value of wind power plant reactive power output,,,Double,
WRPC.VArUpGraSpt,WRPC.,VArUpGraSpt,Set reference value for gradient for ramping up the wind power plant reactive power output,,,Double,
WRPC.VDnGraSpt,WRPC.,VDnGraSpt,Set reference value for wind power plant voltage ramping down,,,Double,
WRPC.VSpt,WRPC.,VSpt,Set reference value for wind power plant voltage output,,,Double,
WRPC.VUpGraSpt,WRPC.,VUpGraSpt,Set reference value for wind power plant voltage ramping up,,,Double,
WTOW.DehumSt,WTOW.,DehumSt,Status of de-humidifier,Enum,Live Value,Long,Live Value
WTOW.HtexSt,WTOW.,HtexSt,Status of heat-exchanger,Enum,Live Value,Long,Live Value
WTOW.IntnHum,WTOW.,IntnHum,Humidity inside tower,percent,Live Value,Double,Live Value
WTOW.IntnHum_10m_Avg,WTOW.,IntnHum_10m_Avg,Humidity inside tower,percent,Average,Double,10 minute tag
WTOW.IntnHum_10m_Max,WTOW.,IntnHum_10m_Max,Humidity inside tower,percent,Maximum,Double,10 minute tag
WTOW.IntnHum_10m_Min,WTOW.,IntnHum_10m_Min,Humidity inside tower,percent,Minimum,Double,10 minute tag
WTOW.IntnHum_10m_Std,WTOW.,IntnHum_10m_Std,Humidity inside tower,percent,Standard Deviation,Double,10 minute tag
WTOW.IntnTmp,WTOW.,IntnTmp,Temperature inside tower,�C,Live Value,Double,Live Value
WTOW.IntnTmp_10m_Avg,WTOW.,IntnTmp_10m_Avg,Temperature inside tower,�C,Average,Double,10 minute tag
WTOW.IntnTmp_10m_Max,WTOW.,IntnTmp_10m_Max,Temperature inside tower,�C,Maximum,Double,10 minute tag
WTOW.IntnTmp_10m_Min,WTOW.,IntnTmp_10m_Min,Temperature inside tower,�C,Minimum,Double,10 minute tag
WTOW.IntnTmp_10m_Std,WTOW.,IntnTmp_10m_Std,Temperature inside tower,�C,Standard Deviation,Double,10 minute tag
WTOW.LftPos,WTOW.,LftPos,Lift position,,,Double,
WTOW.LftSt,WTOW.,LftSt,Status of lift system,Enum,Live Value,Long,Live Value
WTOW.LoIntnTmp,WTOW.,LoIntnTmp,Temperature base tower,�C,Live Value,Double,Live Value
WTOW.LoIntnTmp_10m_Avg,WTOW.,LoIntnTmp_10m_Avg,Temperature base tower,�C,Average,Double,10 minute tag
WTOW.LoIntnTmp_10m_Max,WTOW.,LoIntnTmp_10m_Max,Temperature base tower,�C,Maximum,Double,10 minute tag
WTOW.LoIntnTmp_10m_Min,WTOW.,LoIntnTmp_10m_Min,Temperature base tower,�C,Minimum,Double,10 minute tag
WTOW.LoIntnTmp_10m_Std,WTOW.,LoIntnTmp_10m_Std,Temperature base tower,�C,Standard Deviation,Double,10 minute tag
WTOW.XdirVbr_10m_Avg,WTOW.,XdirVbr_10m_Avg,Vibration in tower in x direction (longitudinal)  cm/s^2,,Average,Double,10 minute tag
WTOW.XdirVbr_10m_Max,WTOW.,XdirVbr_10m_Max,Vibration in tower in x direction (longitudinal)  cm/s^2,,Maximum,Double,10 minute tag
WTOW.XdirVbr_10m_Min,WTOW.,XdirVbr_10m_Min,Vibration in tower in x direction (longitudinal)  cm/s^2,,Minimum,Double,10 minute tag
WTOW.XdirVbr_10m_Std,WTOW.,XdirVbr_10m_Std,Vibration in tower in x direction (longitudinal)  cm/s^2,,Standard Deviation,Double,10 minute tag
WTOW.XdirVbrClc_10m_Avg,WTOW.,XdirVbrClc_10m_Avg,Vibration in tower in x direction with input filter (longitudinal)  cm/s^2,,Average,Double,10 minute tag
WTOW.XdirVbrClc_10m_Max,WTOW.,XdirVbrClc_10m_Max,Vibration in tower in x direction with input filter (longitudinal)  cm/s^2,,Maximum,Double,10 minute tag
WTOW.XdirVbrClc_10m_Min,WTOW.,XdirVbrClc_10m_Min,Vibration in tower in x direction with input filter (longitudinal)  cm/s^2,,Minimum,Double,10 minute tag
WTOW.XdirVbrClc_10m_Std,WTOW.,XdirVbrClc_10m_Std,Vibration in tower in x direction with input filter (longitudinal)  cm/s^2,,Standard Deviation,Double,10 minute tag
WTOW.YdirVbr_10m_Avg,WTOW.,YdirVbr_10m_Avg,Vibration in tower in Y direction (Lateral) cm/s^2,,Average,Double,10 minute tag
WTOW.YdirVbr_10m_Max,WTOW.,YdirVbr_10m_Max,Vibration in tower in Y direction (Lateral) cm/s^2,,Maximum,Double,10 minute tag
WTOW.YdirVbr_10m_Min,WTOW.,YdirVbr_10m_Min,Vibration in tower in Y direction (Lateral) cm/s^2,,Minimum,Double,10 minute tag
WTOW.YdirVbr_10m_Std,WTOW.,YdirVbr_10m_Std,Vibration in tower in Y direction (Lateral) cm/s^2,,Standard Deviation,Double,10 minute tag
WTOW.YdirVbrClc_10m_Avg,WTOW.,YdirVbrClc_10m_Avg,Vibration in tower in Y direction with input filter (Lateral) cm/s^2,,Average,Double,10 minute tag
WTOW.YdirVbrClc_10m_Max,WTOW.,YdirVbrClc_10m_Max,Vibration in tower in Y direction with input filter (Lateral) cm/s^2,,Maximum,Double,10 minute tag
WTOW.YdirVbrClc_10m_Min,WTOW.,YdirVbrClc_10m_Min,Vibration in tower in Y direction with input filter (Lateral) cm/s^2,,Minimum,Double,10 minute tag
WTOW.YdirVbrClc_10m_Std,WTOW.,YdirVbrClc_10m_Std,Vibration in tower in Y direction with input filter (Lateral) cm/s^2,,Standard Deviation,Double,10 minute tag
WTRF.ClSt,WTRF.,ClSt,Status of transformer cooling system,Enum,Live Value,Long,Live Value
WTRF.FanCnt_10m_End,WTRF.,FanCnt_10m_End,Number of activations of transformer fan,Count,Total Counter,Long,10 minute tag
WTRF.FanTms_10m_End,WTRF.,FanTms_10m_End,Time transformer fan has been activated,seconds,Total Counter,Long,10 minute tag
WTRF.GriA,WTRF.,GriA,Grid side 3 phase current,A,Live Value,Double,Live Value
WTRF.GriPNV,WTRF.,GriPNV,Grid side 3 phase-to-neutral voltage,V,Live Value,Double,Live Value
WTRF.GriPPV,WTRF.,GriPPV,Grid side 3 phase phase-to-phase voltage,V,Live Value,Double,Live Value
WTRF.GriSwOp,WTRF.,GriSwOp,Main grid switch command,,,Long,
WTRF.GriTmp,WTRF.,GriTmp,Transformer temperature on grid side,Degrees,Live Value,Double,Live Value
WTRF.GriTmp_10m_Avg,WTRF.,GriTmp_10m_Avg,Transformer temperature on grid side,Degrees,Average,Double,10 minute tag
WTRF.GriTmp_10m_Max,WTRF.,GriTmp_10m_Max,Transformer temperature on grid side,Degrees,Maximum,Double,10 minute tag
WTRF.GriTmp_10m_Min,WTRF.,GriTmp_10m_Min,Transformer temperature on grid side,Degrees,Minimum,Double,10 minute tag
WTRF.GriTmp_10m_Std,WTRF.,GriTmp_10m_Std,Transformer temperature on grid side,Degrees,Standard Deviation,Double,10 minute tag
WTRF.IntnRoomTmp,WTRF.,IntnRoomTmp,Transformer internal room temperature,�C,Live Value,Double,Live Value
WTRF.IntnRoomTmp_10m_Avg,WTRF.,IntnRoomTmp_10m_Avg,Transformer internal room temperature,�C,Average,Double,10 minute tag
WTRF.IntnRoomTmp_10m_Max,WTRF.,IntnRoomTmp_10m_Max,Transformer internal room temperature,�C,Maximum,Double,10 minute tag
WTRF.IntnRoomTmp_10m_Min,WTRF.,IntnRoomTmp_10m_Min,Transformer internal room temperature,�C,Minimum,Double,10 minute tag
WTRF.IntnRoomTmp_10m_Std,WTRF.,IntnRoomTmp_10m_Std,Transformer internal room temperature,�C,Standard Deviation,Double,10 minute tag
WTRF.IntnTmp,WTRF.,IntnTmp,Transformer internal temperature,Degrees,Live Value,Double,Live Value
WTRF.IntnTmp_10m_Avg,WTRF.,IntnTmp_10m_Avg,Transformer internal temperature,Degrees,Average,Double,10 minute tag
WTRF.IntnTmp_10m_Max,WTRF.,IntnTmp_10m_Max,Transformer internal temperature,Degrees,Maximum,Double,10 minute tag
WTRF.IntnTmp_10m_Min,WTRF.,IntnTmp_10m_Min,Transformer internal temperature,Degrees,Minimum,Double,10 minute tag
WTRF.IntnTmp_10m_Std,WTRF.,IntnTmp_10m_Std,Transformer internal temperature,Degrees,Standard Deviation,Double,10 minute tag
WTRF.IntnTmp1,WTRF.,IntnTmp1,Transformer internal temperature1,Degrees,Live Value,Double,Live Value
WTRF.IntnTmp1_10m_Avg,WTRF.,IntnTmp1_10m_Avg,Transformer internal temperature1,Degrees,Average,Double,10 minute tag
WTRF.IntnTmp2,WTRF.,IntnTmp2,Transformer internal temperature2,Degrees,Live Value,Double,Live Value
WTRF.IntnTmp2_10m_Avg,WTRF.,IntnTmp2_10m_Avg,Transformer internal temperature2,Degrees,Average,Double,10 minute tag
WTRF.IntnTmp3,WTRF.,IntnTmp3,Transformer internal temperature3,Degrees,Live Value,Double,Live Value
WTRF.IntnTmp3_10m_Avg,WTRF.,IntnTmp3_10m_Avg,Transformer internal temperature3,Degrees,Average,Double,10 minute tag
WTRF.IntnTmp4,WTRF.,IntnTmp4,Transformer internal temperature4,Degrees,Live Value,Double,Live Value
WTRF.IntnTmp4_10m_Avg,WTRF.,IntnTmp4_10m_Avg,Transformer internal temperature4,Degrees,Average,Double,10 minute tag
WTRF.OilLevSt,WTRF.,OilLevSt,Oil level status information for oil filled transformers,Enum,Live Value,Long,Live Value
WTRF.OilTmp,WTRF.,OilTmp,Transformer oil temperature,�C,Live Value,Double,Live Value
WTRF.OilTmp_10m_Avg,WTRF.,OilTmp_10m_Avg,Transformer oil temperature,�C,Average,Double,10 minute tag
WTRF.OilTmp_10m_Max,WTRF.,OilTmp_10m_Max,Transformer oil temperature,�C,Maximum,Double,10 minute tag
WTRF.OilTmp_10m_Min,WTRF.,OilTmp_10m_Min,Transformer oil temperature,�C,Minimum,Double,10 minute tag
WTRF.OilTmp_10m_Std,WTRF.,OilTmp_10m_Std,Transformer oil temperature,�C,Standard Deviation,Double,10 minute tag
WTRF.OpTmsRs,WTRF.,OpTmsRs,Transformer operation time in seconds (vendor specific),seconds,,Long,
WTRF.PnlTmp,WTRF.,PnlTmp,Transformer Panel/Controllerbox temperature,�C,Live Value,Double,Live Value
WTRF.PnlTmp_10m_Avg,WTRF.,PnlTmp_10m_Avg,Transformer Panel/Controllerbox temperature,�C,Average,Double,10 minute tag
WTRF.PnlTmp_10m_Max,WTRF.,PnlTmp_10m_Max,Transformer Panel/Controllerbox temperature,�C,Maximum,Double,10 minute tag
WTRF.PnlTmp_10m_Min,WTRF.,PnlTmp_10m_Min,Transformer Panel/Controllerbox temperature,�C,Minimum,Double,10 minute tag
WTRF.PnlTmp_10m_Std,WTRF.,PnlTmp_10m_Std,Transformer Panel/Controllerbox temperature,�C,Standard Deviation,Double,10 minute tag
WTRF.TnkPresSt,WTRF.,TnkPresSt,Gas pressure status of main tank for oil filled transformers,Enum,Live Value,Long,Live Value
WTRF.TurA,WTRF.,TurA,Turbine side 3 phase current,A,,Double,
WTRF.TurPNV,WTRF.,TurPNV,Turbine side 3 phase-to-neutral voltage,V,,Double,
WTRF.TurPPV,WTRF.,TurPPV,Turbine side 3 phase phase-to-phase voltage,V,,Double,
WTRF.TurTmp,WTRF.,TurTmp,Transformer temperature on turbine side,�C,Live Value,Double,Live Value
WTRF.TurTmp_10m_Avg,WTRF.,TurTmp_10m_Avg,Transformer temperature on turbine side,�C,Average,Double,10 minute tag
WTRF.TurTmp_10m_Max,WTRF.,TurTmp_10m_Max,Transformer temperature on turbine side,�C,Maximum,Double,10 minute tag
WTRF.TurTmp_10m_Min,WTRF.,TurTmp_10m_Min,Transformer temperature on turbine side,�C,Minimum,Double,10 minute tag
WTRF.TurTmp_10m_Std,WTRF.,TurTmp_10m_Std,Transformer temperature on turbine side,�C,Standard Deviation,Double,10 minute tag
WTRF.TurTmp1,WTRF.,TurTmp1,Transformer temperature on turbine side phase L1,�C,Live Value,Double,Live Value
WTRF.TurTmp1_10m_Avg,WTRF.,TurTmp1_10m_Avg,Transformer temperature on turbine side phase L1,�C,Average,Double,10 minute tag
WTRF.TurTmp1_10m_Max,WTRF.,TurTmp1_10m_Max,Transformer temperature on turbine side phase L1,�C,Maximum,Double,10 minute tag
WTRF.TurTmp1_10m_Min,WTRF.,TurTmp1_10m_Min,Transformer temperature on turbine side phase L1,�C,Minimum,Double,10 minute tag
WTRF.TurTmp1_10m_Std,WTRF.,TurTmp1_10m_Std,Transformer temperature on turbine side phase L1,�C,Standard Deviation,Double,10 minute tag
WTRF.TurTmp2,WTRF.,TurTmp2,Transformer temperature on turbine side phase L2,�C,Live Value,Double,Live Value
WTRF.TurTmp2_10m_Avg,WTRF.,TurTmp2_10m_Avg,Transformer temperature on turbine side phase L2,�C,Average,Double,10 minute tag
WTRF.TurTmp2_10m_Max,WTRF.,TurTmp2_10m_Max,Transformer temperature on turbine side phase L2,�C,Maximum,Double,10 minute tag
WTRF.TurTmp2_10m_Min,WTRF.,TurTmp2_10m_Min,Transformer temperature on turbine side phase L2,�C,Minimum,Double,10 minute tag
WTRF.TurTmp2_10m_Std,WTRF.,TurTmp2_10m_Std,Transformer temperature on turbine side phase L2,�C,Standard Deviation,Double,10 minute tag
WTRF.TurTmp3,WTRF.,TurTmp3,Transformer temperature on turbine side phase L3,�C,Live Value,Double,Live Value
WTRF.TurTmp3_10m_Avg,WTRF.,TurTmp3_10m_Avg,Transformer temperature on turbine side phase L3,�C,Average,Double,10 minute tag
WTRF.TurTmp3_10m_Max,WTRF.,TurTmp3_10m_Max,Transformer temperature on turbine side phase L3,�C,Maximum,Double,10 minute tag
WTRF.TurTmp3_10m_Min,WTRF.,TurTmp3_10m_Min,Transformer temperature on turbine side phase L3,�C,Minimum,Double,10 minute tag
WTRF.TurTmp3_10m_Std,WTRF.,TurTmp3_10m_Std,Transformer temperature on turbine side phase L3,�C,Standard Deviation,Double,10 minute tag
WTRM.BrkCnt,WTRM.,BrkCnt,Number of activations of the shaft brake,Count,Total Counter,Long,Live Value
WTRM.BrkCnt_10m_End,WTRM.,BrkCnt_10m_End,Number of activations of the shaft brake,Count,Total Counter,Long,10 minute tag
WTRM.BrkHyPres,WTRM.,BrkHyPres,Hydraulic oil pressure shaft brake,bar,Live Value,Double,Live Value
